,track_id,track_name,artist_name,album_name,release_date,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,09CnYHiZ5jGT1wr1TXJ9Zt,Thank You (Not So Bad),"Dimitri Vegas & Like Mike, Tiësto, Dido, W&W, Dimitri Vegas, Like Mike",Thank You (Not So Bad),2023-12-01,140000,85,0.673,0.95,11,-5.149,1,0.0488,0.0229,0.0823,0.398,0.563,150.019
1,0h3Xy4V4apMraB5NuM8U7Z,Stumblin' In,CYRIL,Stumblin' In,2023-11-10,213363,88,0.875,0.518,2,-8.388,1,0.0551,0.0638,0.00995,0.125,0.37,126.089
2,331l3xABO0HMr1Kkyh2LZq,I Don't Wanna Wait,"David Guetta, OneRepublic",I Don't Wanna Wait,2024-04-05,149667,89,0.681,0.714,1,-4.617,0,0.0309,0.0375,0.0,0.232,0.554,129.976
3,0LMwmV37RCmBO2so0szAFs,Whatever,"Kygo, Ava Max",Whatever,2024-01-19,178273,85,0.58,0.777,3,-5.69,1,0.0655,0.104,0.0,0.342,0.589,108.005
4,6BePGk3eCan4FqaW2X8Qy3,10:35,"Tiësto, Tate McRae",10:35,2022-11-03,172252,74,0.696,0.793,8,-5.733,1,0.097,0.0683,3.78e-06,0.18,0.698,120.003
5,1o2WYr42HrIoR38WhMy4p6,Aria,"Argy, Omnya",Aria,2023-09-22,236065,63,0.652,0.818,10,-5.994,0,0.0276,0.00248,0.289,0.201,0.0893,122.005
6,1CcLA0eaauck34YEIrvAAq,When We Were Young (The Logical Song),"David Guetta, Kim Petras",When We Were Young (The Logical Song),2023-11-10,147432,81,0.657,0.914,0,-4.513,0,0.0523,0.0526,6.32e-06,0.109,0.502,139.989
7,7aLni8hgkIvVHWZh6mx9js,Burning Wish,"Naeleck, Roniit",Burning Wish,2024-02-02,153557,58,0.71,0.643,8,-7.083,1,0.0327,0.00473,0.572,0.119,0.166,104.973
8,23RoR84KodL5HWvUTneQ1w,(It Goes Like) Nanana - Edit,Peggy Gou,(It Goes Like) Nanana [Edit],2023-06-15,231545,81,0.671,0.876,7,-5.681,0,0.0352,0.12,0.188,0.0823,0.964,129.998
9,2NKLeHNNgAd8YE5guUPdL0,King Of My Castle,"Naeleck, Agent Zed",King Of My Castle,2024-04-12,153406,65,0.64,0.947,8,-3.18,0,0.0475,0.00359,0.00193,0.0384,0.377,74.97
